"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,52,120,"B09D9PJVJH",true,639,"INR",1799,1160,64.48,6,4.8,"https://www.amazon.in/dp/B09D9PJVJH","28.80",false,false,false,true,"Amazon Brand - Symactive Women Sports Bra","https://m.media-amazon.com/images/I/719ra98lfcL._AC_UL400_.jpg"
2,53,121,"B0BLK1TVXM",true,339,"INR",1999,1660,83.04,7,3.5,"https://www.amazon.in/dp/B0BLK1TVXM","24.50",false,false,false,false,"Greciilooks Women's 2022 Fall Clothes Slub Rayon Trim Shirts Cap Sleeve Coller Neck Casual Plain Tops Blouse (White_Medium)","https://m.media-amazon.com/images/I/71NVVM5ExSL._AC_UL400_.jpg"
2,54,122,"B09XN532X6",true,948,"INR",1500,552,36.8,70,3.3,"https://www.amazon.in/dp/B09XN532X6","231.00",false,false,false,true,"BE SAVAGE Full Sleeves Co Ords Tracksuit(Top & Leggings) For Women(Suitable for Yoga,Jogging & Gym)","https://m.media-amazon.com/images/I/31LQyEd51KL._AC_UL400_.jpg"
2,55,123,"B0BVN1F6NK",true,769,"INR",5999,5230,87.18,43,4,"https://www.amazon.in/dp/B0BVN1F6NK","172.00",false,false,false,true,"MEERA FAB Women's Cotton Printed Printed Straight Embroidery Kurta with Palazzo & Dupatta Set","https://m.media-amazon.com/images/I/81Bf80d+hQL._AC_UL400_.jpg"
2,56,124,"B0BC2415KK",true,599,"INR",2999,2400,80.03,301,3.7,"https://www.amazon.in/dp/B0BC2415KK","1113.70",false,false,true,true,"ZUVINO Women's Maternity Feeding Tops for Mothers with Zip | Nursing Tops for Feeding Baby | Feeding Tops for Jeans | Plus...","https://m.media-amazon.com/images/I/81fesMio5ZL._AC_UL400_.jpg"
2,57,125,"B0BW949WQN",true,569,"INR",1998,1429,71.52,77,4.1,"https://www.amazon.in/dp/B0BW949WQN","315.70",false,false,false,true,"Sponsored Ad - Hangout Hub Women's Cotton Regular Fit Floral Print Light Green Color Night Suit Set of Front Buttom Shirt...","https://m.media-amazon.com/images/I/51eSq6NZIRL._AC_UL400_.jpg"
2,58,126,"B0BW4HZRF4",true,844,"INR",4499,3655,81.24,16,3.2,"https://www.amazon.in/dp/B0BW4HZRF4","51.20",false,false,false,true,"Sponsored Ad - Fashion SAY Women's Muslin Cotton Blend Embroidered Floral Digital Printed Straight Kurta with Pant & Dupat...","https://m.media-amazon.com/images/I/51NN8C1c1QL._AC_UL400_.jpg"
2,59,127,"B0B3MQ8ZRJ",true,749,"INR",2299,1550,67.42,10,3.8,"https://www.amazon.in/dp/B0B3MQ8ZRJ","38.00",false,false,false,true,"Sponsored Ad - Janasya Women's Dark Blue Cotton Floral Print Flared Kurta","https://m.media-amazon.com/images/I/81wZ2x1iZSL._AC_UL400_.jpg"
2,60,128,"B0B5GV7Z5M",true,644,"INR",799,155,19.4,18,3.5,"https://www.amazon.in/dp/B0B5GV7Z5M","63.00",false,false,false,false,"Sponsored Ad - Ellixy Women's Cotton Blend Thermal 3/4th Sleeves Top and Trouser/Female Thermal/Ladies Thermal Set (Pack o...","https://m.media-amazon.com/images/I/61paJJ+EymL._AC_UL400_.jpg"
3,9,129,"B07RPNXJJ9",true,359,"INR",999,640,64.06,553,3.4,"https://www.amazon.in/dp/B07RPNXJJ9","1880.20",false,false,false,false,"Fabme Women's Textured Material, Horizontal Zip, Nursing Nighty","https://m.media-amazon.com/images/I/81JomMxZM-L._AC_UL400_.jpg"
3,10,130,"B09PLG4994",true,199,"INR",2499,2300,92.04,1,5,"https://www.amazon.in/dp/B09PLG4994","5.00",false,false,false,false,"Style Quotient Women Grey Solid","https://m.media-amazon.com/images/I/71EserQSTLL._AC_UL400_.jpg"
3,11,131,"B0BCQYRGV3",true,314,"INR",1099,785,71.43,280,3.6,"https://www.amazon.in/dp/B0BCQYRGV3","1008.00",false,false,false,false,"LEOTUDE Women's Cottonblend Half Sleeve Oversized Drop Shoulder T-Shirt (Color: Neon Green)","https://m.media-amazon.com/images/I/61sQ0kQuu2L._AC_UL400_.jpg"
3,12,132,"B0C3MDGTFM",true,749,"INR",1599,850,53.16,2040,3.9,"https://www.amazon.in/dp/B0C3MDGTFM","7956.00",false,false,false,true,"Pistaa's Women's Cotton Regular Printed Kurta","https://m.media-amazon.com/images/I/71Jxr1yhTjL._AC_UL400_.jpg"
3,13,133,"B0BSFXDRMZ",true,499,"INR",899,400,44.49,2,3,"https://www.amazon.in/dp/B0BSFXDRMZ","6.00",false,false,false,true,"Alexvyan Girls Slips","https://m.media-amazon.com/images/I/41rrtTpe92L._AC_UL400_.jpg"
3,15,135,"B0B56P34KW",true,199,"INR",1199,1000,83.4,20,2.6,"https://www.amazon.in/dp/B0B56P34KW","52.00",false,false,false,false,"Preneum Women Top","https://m.media-amazon.com/images/I/71STD0lro5L._AC_UL400_.jpg"
3,16,136,"B09Y36VQP1",true,395,"INR",799,404,50.56,119,4,"https://www.amazon.in/dp/B09Y36VQP1","476.00",false,false,false,false,"Unbeatable Womens Compression Top T-Shirt for Gym Sports Yoga Swimming Running Full Sleeve","https://m.media-amazon.com/images/I/717Re8I8CTL._AC_UL400_.jpg"
3,17,137,"B082J216BT",true,393,"INR",1425,1032,72.42,939,3.6,"https://www.amazon.in/dp/B082J216BT","3380.40",false,false,false,false,"Rajnandini Women's Red Cotton Printed Unstitched Salwar Suit Material(JOPLVSM4031)","https://m.media-amazon.com/images/I/71kP2ELJ64L._AC_UL400_.jpg"
3,18,138,"B091Y2V7JY",true,599,"INR",1199,600,50.04,984,3.7,"https://www.amazon.in/dp/B091Y2V7JY","3640.80",false,false,false,true,"MIZAGO Women's Top","https://m.media-amazon.com/images/I/71dqYGCwioS._AC_UL400_.jpg"
